ntaname,nearby_events_count,nearby_event_titles,nearby_event_types,has_major_event
Allerton,0,0,0,0
Murray Hill-Kips Bay,10,"STEELY DAN Revue: KING OF THE WORLD Playing Steely Dan's Greatest Hits, Austin Nasso, The Town Hall Presents Kierra Sheard-Kelly: The Princess of Gospel","Music, Arts & Theatre, Sports",1
New Dorp-Midland Beach,0,0,0,0
New Springville-Willowbrook-Bulls Head-Travis,0,0,0,0
North Corona,10,"New York Mets vs. St. Louis Cardinals, New York Mets vs St. Louis Cardinals: Mets Soccer Jersey, New York Mets vs. Atlanta Braves",Sports,1
Norwood,10,"Elite Stars Dance Academy 2.0, Elite Dance Stars 3.0, Dance Theatre of Harlem","Arts & Theatre, Music",1
Oakland Gardens-Hollis Hills,0,0,0,0
Oakwood-Richmondtown,0,0,0,0
Ocean Hill,0,0,0,0
Old Astoria-Hallets Point,2,"Green Velvet, Elefante (18+)",Music,1
Ozone Park,0,0,0,0
Ozone Park (North),0,0,0,0
Park Slope,10,"That's Messed Up LIVE!, Liza Treyger Presents Show and Tell, Carin Leon - De Sonora Para El Mundo Tour 2026","Arts & Theatre, Music, Miscellaneous",1
Murray Hill-Broadway Flushing,0,0,0,0
Parkchester,0,0,0,0
Pelham Bay-Country Club-City Island,0,0,0,0
Pelham Gardens,0,0,0,0
Pelham Parkway-Van Nest,0,0,0,0
Pomonok-Electchester-Hillcrest,4,"NYCFC II vs. Carolina Core FC, NYCFC II vs. Chattanooga FC, NYCFC II vs. Philadelphia Union II",Sports,1
Port Richmond,0,0,0,0
Prospect Heights,10,"Carin Leon - De Sonora Para El Mundo Tour 2026, Lunar Sway by Nick Butler, NARRATIVE SHORTS | SOULmeet","Music, Film, Miscellaneous",1
Prospect Lefferts Gardens-Wingate,0,0,0,0
Prospect Park,3,"Benefit Show: Patti LaBelle + Lady Wray + morernbplease, Royel Otis meet me in the car tour, Liz Phair & Sleater-Kinney: The Flannel and The Fury 2026",Music,1
Queens Village,10,"International Soccer Watch Party: USA v. Australia, International Soccer Watch Party: Brazil v. Haiti, MANILOW: The Last Long Island Concert","Sports, Music, Arts & Theatre",1
Queensboro Hill,8,"Governors Ball Music Festival, LVL UP ACADEMY ANNUAL RECITAL, SexBomb Get, Get Aw! US Tour","Miscellaneous, Arts & Theatre, Music",1
Queensbridge-Ravenswood-Dutch Kills,1,Elefante (18+),Music,1
Randall's Island,10,"NYCFC II vs. Chattanooga FC, NYCFC II vs. Columbus Crew 2, NYCFC II vs. Philadelphia Union II","Sports, Music, Miscellaneous",1
Pelham Bay Park,0,0,0,0
Mount Olivet & All Faiths Cemeteries,0,0,0,0
Mount Hope,0,0,0,0
Mount Eden-Claremont (West),0,0,0,0
Kew Gardens Hills,10,"The Governors Ball Music Festival, Governors Ball Music Festival, LVL UP ACADEMY ANNUAL RECITAL","Music, Miscellaneous, Arts & Theatre",1
Kingsbridge Heights-Van Cortlandt Village,10,"Elite Stars Dance Academy 2.0, Elite Dance Stars 3.0, Dance Theatre of Harlem","Arts & Theatre, Music",1
Kingsbridge-Marble Hill,10,"Elite Stars Dance Academy 2.0, Elite Dance Stars 3.0, Dance Theatre of Harlem","Arts & Theatre, Music",1
Kissena Park,6,"LVL UP ACADEMY ANNUAL RECITAL, SexBomb Get, Get Aw! US Tour, Santiago Cruz: Sigo En Pie Tour","Arts & Theatre, Music",1
