the_geom,objectid,loc,borough,street_nam,from_stree,to_street,iex,may_07_am,may_07_pm,may_07_md,sept_07_am,sept_07_pm,sept_07_md,may_08_am,may_08_pm,may_08_md,sept_08_am,sept_08_pm,sept_08_md,may_09_am,may_09_pm,may_09_md,sept_09_am,sept_09_pm,sept_09_md,may_10_am,may_10_pm,may_10_md,sept_10_am,sept_10_pm,sept_10_md,may_11_am,may_11_pm,may_11_md,sept_11_am,sept_11_pm,sept_11_md,may_12_am,may_12_pm,may_12_md,sept_12_am,sept_12_pm,sept_12_md,may_13_am,may_13_pm,may_13_md,sept_13_am,sept_13_pm,sept_13_md,may_14_am,may_14_pm,may_14_md,sept_14_am,sept_14_pm,sept_14_md,may_15_am,may_15_pm,may_15_md,sept_15_am,sept_15_pm,sept_15_md,may_16_am,may_16_pm,may_16_md,sept_16_am,sept_16_pm,sept_16_md,may_17_am,may_17_pm,may_17_md,sept_17_am,sept_17_pm,sept_17_md,may_18_am,may_18_pm,may_18_md,sept_18_am,sept_18_pm,sept_18_md,may_19_am,may_19_pm,may_19_md,oct_20_am,oct_20_pm,oct_20_md,may_21_am,may_21_pm,may_21_md,oct_21_am,oct_21_pm,oct_21_md,may_22_am,may_22_p_m,may_22_md,oct_22_am,oct_22_pm,oct_22_md,may_23_am,may_23_p_m,may_23_md,oct_23_am,oct_23_pm,oct_23_md,june_24_am,june_24_pm,june_24_md,oct24_am,oct24_pm,oct24_md,may25_am,may25_pm,may25_md,oct25_am,oct25_pm,oct25_md
POINT (-73.90459140730678 40.87919896648574),1,1,Bronx,Broadway,West 231st Street,Naples Terrace,N,1189.0,4094.0,2508.0,734.0,2646.0,2939.0,802.0,4015.0,2631.0,1125.0,4310.0,3420.0,1001,3475,2832,991.0,4262.0,2469.0,1010,3609,3128,863,4119,2217,997,4440,2687,1328,3820,2428,1288,3328,3365,1268,4315,2276,1210,4710,3825,1206,4590,3008,1220,4384,2641,1450,4646,2996,1788,4980,3033,1204,4520,2999,1246,4531,2686,1309,3642,2830,1916,5893,2776,1111,4044,2731,1271,4502,2899,1708,4464,2967,,,,486.0,2843.0,1754.0,630.0,3262.0,1710.0,808.0,2807.0,2230.0,737.0,2343.0,1883.0,745.0,2637.0,2241.0,1897.0,5018.0,2496.0,935.0,3759.0,1745.0,901.0,3482.0,2052.0,1031.0,4097.0,2229.0,811.0,2420.0,2224.0,753.0,3910.0,2473.0
POINT (-73.92188432870218 40.82662794123292),2,2,Bronx,East 161st Street,Gra Concourse,Sheridan Avenue,Y,1511.0,3184.0,1971.0,1855.0,3754.0,1183.0,1136.0,2638.0,1522.0,1939.0,3283.0,1383.0,1351,3111,1304,1227.0,3137.0,2762.0,2077,3283,1409,1007,3069,1477,1734,3333,1772,2051,3525,1752,1233,1875,1912,2113,4099,1970,2278,4215,2288,2071,3890,1832,2206,4363,2315,1949,4435,2388,2318,4589,2483,2005,4790,2512,2053,4721,2311,2109,5485,2548,1848,4920,2143,2389,5952,2832,1749,5148,2156,2006,4723,1604,1702.0,4347.0,1576.0,780.0,1892.0,1287.0,1405.0,2097.0,1410.0,2191.0,3786.0,1770.0,2242.0,4227.0,2168.0,2608.0,4277.0,1867.0,2384.0,4600.0,2064.0,2822.0,5050.0,1287.0,2113.0,4155.0,1493.0,3016.0,4685.0,1655.0,2928.0,4168.0,2468.0,2655.0,4710.0,1486.0
POINT (-73.89535781584335 40.86215460031517),3,3,Bronx,East Fordham Road,Valentine Avenue,Tiebout Avenue,Y,1832.0,12311.0,14391.0,1829.0,9215.0,15065.0,1061.0,8013.0,7927.0,2497.0,10010.0,8013.0,1689,8374,7472,2387.0,10655.0,6614.0,2285,10943,10424,2807,12658,7714,2289,15890,9167,2679,13548,8140,2125,7635,7022,2704,10486,7421,2710,12723,8872,2651,10613,8241,2699,12490,6339,2752,10408,8266,2382,11216,7574,2733,10586,9072,2540,11272,8422,2422,11145,9775,2557,12125,6499,2783,12388,7076,2209,9634,7066,2246,8931,6212,1625.0,11739.0,7468.0,972.0,6976.0,5058.0,942.0,5576.0,4402.0,1798.0,7296.0,4864.0,1501.0,5950.0,4987.0,1662.0,6572.0,4765.0,1654.0,6918.0,4696.0,1560.0,6880.0,2453.0,1485.0,7125.0,3819.0,1689.0,6405.0,4417.0,1599.0,4936.0,4688.0,1765.0,7176.0,4672.0
POINT (-73.87892467324478 40.8812869959873),4,4,Bronx,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,N,764.0,2673.0,1798.0,1360.0,1975.0,872.0,2102.0,3206.0,1989.0,3020.0,3915.0,1662.0,1536,2997,1672,2097.0,3135.0,1591.0,2954,3962,1717,1622,3006,1344,1661,2844,1510,1996,2836,1587,1906,2066,1261,2371,3500,1620,2052,3981,1979,2373,3660,1914,2096,3378,1333,2382,3425,1339,1757,3561,1714,2256,2923,1574,2066,2944,1752,2017,2771,1459,2125,3130,1123,2453,3429,1551,1648,2892,1323,1944,2682,1693,,,,953.0,2063.0,1185.0,946.0,1211.0,1161.0,1503.0,1978.0,689.0,1350.0,2082.0,1063.0,1448.0,2120.0,1032.0,1398.0,2280.0,1303.0,1404.0,2089.0,807.0,1394.0,2023.0,1190.0,1495.0,2474.0,1073.0,1261.0,1779.0,1133.0,1565.0,2288.0,1214.0
POINT (-73.88956389732787 40.844636776717664),5,5,Bronx,East Tremont Avenue,Prospect Avenue,Clinton Avenue,N,650.0,2538.0,2334.0,1078.0,2739.0,2343.0,553.0,2438.0,1652.0,756.0,3095.0,1374.0,684,2660,2604,912.0,3637.0,2339.0,1075,5823,4085,1012,5785,3758,1093,6119,4274,1049,5859,3934,627,1503,2371,959,3140,2273,1007,4175,2854,760,3488,2805,971,3586,2460,1019,3184,2366,1055,3710,2554,1063,3296,2466,993,3625,2492,1101,3336,2501,980,3700,2526,1082,3330,2479,1016,3781,2565,975,3761,2461,,,,357.0,1997.0,1719.0,444.0,2382.0,1384.0,714.0,2356.0,1502.0,669.0,1508.0,1606.0,774.0,2084.0,1611.0,730.0,2077.0,1578.0,786.0,2140.0,1115.0,550.0,1455.0,1563.0,725.0,2329.0,1888.0,714.0,1585.0,1522.0,777.0,2512.0,1695.0
POINT (-73.92087824799184 40.83015855511035),6,6,Bronx,Gra Concourse,East 164th Street,East 165th Street,Y,489.0,1235.0,835.0,873.0,1457.0,631.0,634.0,1554.0,856.0,771.0,1445.0,744.0,605,1271,539,599.0,1028.0,750.0,597,1426,669,634,1341,738,753,1394,891,802,1396,859,838,1372,1069,936,1743,1059,912,2059,1037,963,1726,973,858,2035,1042,972,1902,1097,839,2023,1059,999,1948,1161,767,1933,1010,982,1971,1165,740,1909,925,962,1872,1199,757,1933,956,1158,1986,686,694.0,1881.0,816.0,511.0,1459.0,689.0,500.0,878.0,586.0,919.0,1416.0,886.0,718.0,1121.0,806.0,684.0,1175.0,1146.0,551.0,1194.0,780.0,538.0,1035.0,537.0,621.0,1403.0,478.0,684.0,1356.0,644.0,1213.0,1558.0,849.0,537.0,1057.0,504.0
POINT (-73.91635737290386 40.81688745834867),7,7,Bronx,Third Avenue,East 150th Street,East 151st Street,Y,703.0,8776.0,2865.0,858.0,6503.0,5501.0,636.0,6123.0,4461.0,1499.0,5803.0,4251.0,1696,7236,3540,1446.0,6730.0,7409.0,1624,6877,4565,1701,6922,4866,1773,7138,5866,1937,7050,4951,1367,6961,5551,1604,7500,5012,2097,8853,6599,1231,6701,4294,2161,9048,6717,1648,9057,6785,2165,9285,6721,1690,7894,6844,2059,9097,6688,1689,7885,6900,2027,9045,6683,1702,7883,6921,1817,9048,5956,1649,9087,4470,1136.0,6589.0,4967.0,778.0,4641.0,3020.0,567.0,2571.0,3433.0,1138.0,5781.0,3287.0,995.0,5361.0,3866.0,1260.0,5443.0,3324.0,1594.0,6292.0,4086.0,1352.0,5744.0,2439.0,1037.0,6293.0,3353.0,1400.0,5356.0,3078.0,1354.0,4288.0,3404.0,1234.0,5601.0,3438.0
POINT (-73.86767352599497 40.85558871971955),8,8,Bronx,White Plains Road,Pelham Parkway South,Lydig Avenue,Y,1025.0,4039.0,3991.0,1743.0,4667.0,3309.0,1638.0,4798.0,4858.0,1056.0,3194.0,2489.0,990,3490,3335,1461.0,5090.0,2526.0,1375,4834,3095,1568,4386,2217,1545,4402,2985,1689,3016,2360,1626,3415,3828,1591,5398,3851,1410,4232,3007,1479,4910,4056,1495,5166,2540,1769,4114,2893,1512,4333,3122,1537,4379,3092,1638,5900,2582,1377,4098,2730,1186,4673,3420,2023,5520,3166,1601,5059,3391,1493,4011,2566,1305.0,5007.0,3326.0,728.0,3556.0,2238.0,763.0,4344.0,2204.0,1108.0,3983.0,2891.0,1263.0,4291.0,2491.0,1003.0,3493.0,2441.0,1096.0,4096.0,2655.0,1092.0,3891.0,1589.0,1035.0,4040.0,2130.0,1227.0,3765.0,2205.0,973.0,3085.0,2193.0,1208.0,4137.0,2212.0
POINT (-74.01119296689038 40.64426682358741),9,9,Brooklyn,5th Avenue,51st Street,52 Street,Y,856.0,5940.0,4354.0,900.0,5435.0,5081.0,886.0,7054.0,4806.0,1062.0,5072.0,5901.0,914,5730,4619,1364.0,5475.0,4740.0,982,5570,5371,946,5585,4577,1350,7743,6135,1445,8170,4999,1306,3662,4731,1419,4864,6325,1457,6509,6070,1658,6627,5690,1522,7718,6313,1721,7988,6391,1791,7802,6762,1655,7502,6082,1531,7296,6014,1642,8130,5763,1517,7384,5356,1563,4730,5563,1197,4909,4515,1210,4821,4401,652.0,1402.0,1125.0,,,,1677.0,9439.0,5579.0,1221.0,4455.0,4151.0,1167.0,4184.0,3781.0,948.0,3673.0,3978.0,3229.0,14631.0,10699.0,1096.0,4642.0,3791.0,1030.0,4297.0,3027.0,1172.0,4990.0,3355.0,997.0,4271.0,3592.0,1120.0,4327.0,3656.0
POINT (-73.98067647018506 40.676093537146265),10,10,Brooklyn,5th Avenue,Union Street,President Street,Y,504.0,2207.0,2225.0,422.0,2167.0,1627.0,672.0,2707.0,966.0,487.0,1898.0,2321.0,469,2547,2259,774.0,2310.0,1690.0,582,2274,2808,661,3063,2141,631,2915,2852,591,2848,2307,666,1414,2620,723,3255,2468,688,2764,2554,794,2513,2591,800,3051,3080,955,2390,1962,900,2492,3081,922,2955,2681,941,2751,3131,951,2911,2248,812,2570,2298,905,2463,1679,743,2252,2286,736,2297,2196,849.0,6007.0,4865.0,539.0,1983.0,3144.0,536.0,2564.0,1429.0,713.0,2334.0,2118.0,646.0,2499.0,2503.0,592.0,2091.0,2416.0,657.0,2464.0,2456.0,604.0,2239.0,2389.0,570.0,2185.0,1615.0,694.0,2284.0,2360.0,669.0,2600.0,2469.0,675.0,2519.0,1983.0
