ntaname,prediction_time,prob_active_noise_next_2h,prob_active_complaints_next_2h,prob_high_traffic_volume_next_2h,prob_active_subway_ridership_next_2h,prob_active_subway_transfers_next_2h,crime_last_7d,crashes_last_7d,persons_injured_last_7d,pedestrians_injured_last_7d,cyclists_injured_last_7d,noise_last_24h,complaints_last_24h,subway_ridership_last_24h,traffic_volume_last_24h,temp_f,precip_prob,wind_mph,weather_main,hour,day_of_week,is_weekend
Allerton,2026-06-03 01:00:00,0.14872799513763624,0.09511003220936201,0.0,8.045574231535826e-05,0.0005358028758276666,53.0,0.0,0.0,0.0,0.0,5.0,27.0,3315.0,0.0,63.61,0,3.67,Clouds,1,2,0
Murray Hill-Kips Bay,2026-06-03 01:00:00,0.2774271992926223,0.18361975173704387,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,26.0,89.0,0.0,0.0,65.1,0,5.37,Clouds,1,2,0
New Dorp-Midland Beach,2026-06-03 01:00:00,0.1668100948225117,0.11446635097057922,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,11.0,47.0,0.0,0.0,63.61,0,7.63,Clouds,1,2,0
New Springville-Willowbrook-Bulls Head-Travis,2026-06-03 01:00:00,0.1600845570051826,0.09242411147821247,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,5.0,35.0,0.0,0.0,63.61,0,5.88,Clouds,1,2,0
North Corona,2026-06-03 01:00:00,0.15429266510376155,0.08589896846341141,0.0,8.045574231535826e-05,0.0005358028758276666,36.0,0.0,0.0,0.0,0.0,6.0,28.0,11115.0,0.0,64.63,0,5.59,Clouds,1,2,0
Norwood,2026-06-03 01:00:00,0.21658605338285833,0.10159257113407869,0.0,0.00016445071404615018,0.003260745703052459,79.0,0.0,0.0,0.0,0.0,16.0,64.0,11698.0,0.0,63.68,0,3.22,Clouds,1,2,0
Oakland Gardens-Hollis Hills,2026-06-03 01:00:00,0.1553925282123781,0.05098199111437407,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,62.11,0,5.79,Clear,1,2,0
Oakwood-Richmondtown,2026-06-03 01:00:00,0.14322689792435245,0.07181703555321203,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,63.64,0,7.63,Clouds,1,2,0
Ocean Hill,2026-06-03 01:00:00,0.24118962145021566,0.09579672560133905,0.24599122772777934,0.0017097249916272444,0.024098520259464705,78.0,0.0,0.0,0.0,0.0,20.0,58.0,15286.0,2613.0,64.72,0,7.2,Clear,1,2,0
Old Astoria-Hallets Point,2026-06-03 01:00:00,0.1425587878532365,0.09500459151525856,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,29.0,0.0,0.0,64.99,0,4.94,Clouds,1,2,0
Ozone Park,2026-06-03 01:00:00,0.14681359453988937,0.08261339368076771,0.0,0.00010336015504656637,0.0010112670457775024,19.0,0.0,0.0,0.0,0.0,4.0,22.0,11004.0,0.0,64.4,0,7.14,Clear,1,2,0
Ozone Park (North),2026-06-03 01:00:00,0.16487745931437092,0.10551034041585719,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,4.0,31.0,0.0,0.0,64.4,0,7.14,Clear,1,2,0
Park Slope,2026-06-03 01:00:00,0.18554023817805027,0.1864644663344514,0.21990836973419706,0.06548681364786918,0.038779227416041916,51.0,0.0,0.0,0.0,0.0,15.0,87.0,57964.0,11815.0,64.87,0,7.09,Clouds,1,2,0
Murray Hill-Broadway Flushing,2026-06-03 01:00:00,0.1269848773347601,0.13051890891001777,0.31668319439709286,0.0,0.0,23.0,0.0,0.0,0.0,0.0,7.0,57.0,0.0,3754.0,63.52,0,5.61,Clouds,1,2,0
Parkchester,2026-06-03 01:00:00,0.13615430862314518,0.06917383583727596,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,64.38,0,4.25,Clouds,1,2,0
Pelham Bay-Country Club-City Island,2026-06-03 01:00:00,0.1805187636198414,0.11343727741806066,0.0,0.0004317303701407062,0.0016308347228094077,34.0,0.0,0.0,0.0,0.0,8.0,41.0,7448.0,0.0,63.59,0,3.96,Clouds,1,2,0
Pelham Gardens,2026-06-03 01:00:00,0.1164345848470691,0.10249872996048705,0.28736132909528805,8.045574231535826e-05,0.0005358028758276666,21.0,0.0,0.0,0.0,0.0,4.0,32.0,5482.0,7551.0,63.39,0,3.8,Clouds,1,2,0
